No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.0.1.2,10.0.1.3,TCP,74,33917  >  10 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992349 TSecr=0 WS=128
4,0.0004665,10.0.1.3,10.0.1.2,TCP,54,"10  >  33917 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
5,0.0017069,10.0.1.2,10.0.1.3,TCP,74,43113  >  1 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992351 TSecr=0 WS=128
6,0.0021785,10.0.1.3,10.0.1.2,TCP,54,"1  >  43113 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
7,0.0033514,10.0.1.2,10.0.1.3,TCP,74,40455  >  2 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992353 TSecr=0 WS=128
8,0.0035395,10.0.1.3,10.0.1.2,TCP,54,"2  >  40455 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
9,0.0047544,10.0.1.2,10.0.1.3,TCP,74,41973  >  3 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992354 TSecr=0 WS=128
10,0.0049619,10.0.1.3,10.0.1.2,TCP,54,"3  >  41973 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
11,0.0070526,10.0.1.2,10.0.1.3,TCP,74,39085  >  4 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992356 TSecr=0 WS=128
12,0.0073787,10.0.1.3,10.0.1.2,TCP,54,"4  >  39085 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
13,0.0086652,10.0.1.2,10.0.1.3,TCP,74,42735  >  5 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992358 TSecr=0 WS=128
14,0.008903,10.0.1.3,10.0.1.2,TCP,54,"5  >  42735 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
15,0.0103154,10.0.1.2,10.0.1.3,TCP,74,43623  >  6 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992360 TSecr=0 WS=128
16,0.0105579,10.0.1.3,10.0.1.2,TCP,54,"6  >  43623 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
17,0.0116145,10.0.1.2,10.0.1.3,TCP,74,34345  >  7 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992361 TSecr=0 WS=128
18,0.0118452,10.0.1.3,10.0.1.2,TCP,54,"7  >  34345 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19,0.0133644,10.0.1.2,10.0.1.3,TCP,74,46109  >  8 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992363 TSecr=0 WS=128
20,0.0135319,10.0.1.3,10.0.1.2,TCP,54,"8  >  46109 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
21,0.0141097,10.0.1.2,10.0.1.3,TCP,74,45015  >  9 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992363 TSecr=0 WS=128
22,0.0142988,10.0.1.3,10.0.1.2,TCP,54,"9  >  45015 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
23,0.0600693,10.0.1.2,10.0.1.3,TCP,74,45435  >  11 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992409 TSecr=0 WS=128
24,0.0604453,10.0.1.3,10.0.1.2,TCP,54,"11  >  45435 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
25,0.0604851,10.0.1.2,10.0.1.3,TCP,74,42847  >  12 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992410 TSecr=0 WS=128
26,0.0606685,10.0.1.3,10.0.1.2,TCP,54,"12  >  42847 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
27,0.0608843,10.0.1.2,10.0.1.3,TCP,74,41101  >  15 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992410 TSecr=0 WS=128
28,0.0610611,10.0.1.3,10.0.1.2,TCP,54,"15  >  41101 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
29,0.0612402,10.0.1.2,10.0.1.3,TCP,74,42569  >  14 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992411 TSecr=0 WS=128
30,0.0622967,10.0.1.3,10.0.1.2,TCP,54,"14  >  42569 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
31,0.071659,10.0.1.2,10.0.1.3,TCP,74,33619  >  13 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992421 TSecr=0 WS=128
32,0.0765541,10.0.1.3,10.0.1.2,TCP,54,"13  >  33619 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
33,0.0846133,10.0.1.2,10.0.1.3,TCP,74,43169  >  16 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992434 TSecr=0 WS=128
34,0.0850164,10.0.1.3,10.0.1.2,TCP,54,"16  >  43169 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
35,0.0982181,10.0.1.2,10.0.1.3,TCP,74,33751  >  17 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992448 TSecr=0 WS=128
36,0.0988381,10.0.1.3,10.0.1.2,TCP,54,"17  >  33751 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
37,0.1039519,10.0.1.2,10.0.1.3,TCP,74,42045  >  18 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3296992453 TSecr=0 WS=128
